"region","year","cases","deaths"
"IGL01",1980,445,248
"IGL01",1981,385,238
"IGL01",1982,194,99
"IGL01",1983,219,124
"IGL01",1984,253,151
"IGL01",1985,170,101
"IGL01",1986,265,132
"IGL01",1987,262,144
"IGL01",1988,297,156
"IGL01",1989,495,273
"IGL01",1990,646,358
"IGL01",1991,789,453
"IGL01",1992,726,406
"IGL01",1993,538,307
"IGL01",1994,362,204
"IGL01",1995,206,111
"IGL01",1996,239,129
"IGL01",1997,195,115
"IGL01",1998,149,83
"IGL01",1999,128,70
"IGL01",2000,90,44
"IGL02",1980,13,10
"IGL02",1981,12,5
"IGL02",1982,8,3
"IGL02",1983,13,7
"IGL02",1984,12,4
"IGL02",1985,15,8
"IGL02",1986,16,10
"IGL02",1987,16,7
"IGL02",1988,13,9
"IGL02",1989,15,4
"IGL02",1990,18,6
"IGL02",1991,16,9
"IGL02",1992,17,10
"IGL02",1993,22,10
"IGL02",1994,21,10
"IGL02",1995,20,7
"IGL02",1996,17,12
"IGL02",1997,26,17
"IGL02",1998,13,5
"IGL02",1999,10,7
"IGL02",2000,17,11
"IGL03",1980,736,415
"IGL03",1981,485,298
"IGL03",1982,235,136
"IGL03",1983,237,130
"IGL03",1984,389,216
"IGL03",1985,606,329
"IGL03",1986,1033,588
"IGL03",1987,1204,679
"IGL03",1988,1015,564
"IGL03",1989,803,487
"IGL03",1990,499,286
"IGL03",1991,595,334
"IGL03",1992,757,405
"IGL03",1993,836,458
"IGL03",1994,700,397
"IGL03",1995,568,336
"IGL03",1996,474,264
"IGL03",1997,477,275
"IGL03",1998,343,191
"IGL03",1999,254,142
"IGL03",2000,201,121
"IGL04",1980,656,364
"IGL04",1981,475,262
"IGL04",1982,357,208
"IGL04",1983,574,329
"IGL04",1984,1152,645
"IGL04",1985,1659,941
"IGL04",1986,1024,595
"IGL04",1987,667,396
"IGL04",1988,867,459
"IGL04",1989,1196,707
"IGL04",1990,1277,740
"IGL04",1991,1339,764
"IGL04",1992,1104,622
"IGL04",1993,869,491
"IGL04",1994,688,391
"IGL04",1995,607,357
"IGL04",1996,666,371
"IGL04",1997,724,406
"IGL04",1998,749,434
"IGL04",1999,576,318
"IGL04",2000,265,151
"IGL05",1980,553,318
"IGL05",1981,444,236
"IGL05",1982,305,166
"IGL05",1983,253,131
"IGL05",1984,363,219
"IGL05",1985,532,311
"IGL05",1986,803,458
"IGL05",1987,943,538
"IGL05",1988,994,577
"IGL05",1989,844,492
"IGL05",1990,777,432
"IGL05",1991,639,352
"IGL05",1992,711,415
"IGL05",1993,769,450
"IGL05",1994,615,353
"IGL05",1995,391,217
"IGL05",1996,420,232
"IGL05",1997,419,245
"IGL05",1998,314,164
"IGL05",1999,224,136
"IGL05",2000,197,124
"IGL06",1980,537,318
"IGL06",1981,501,285
"IGL06",1982,301,162
"IGL06",1983,236,128
"IGL06",1984,295,164
"IGL06",1985,492,276
"IGL06",1986,898,494
"IGL06",1987,1141,661
"IGL06",1988,1024,582
"IGL06",1989,808,463
"IGL06",1990,654,356
"IGL06",1991,546,296
"IGL06",1992,577,337
"IGL06",1993,711,406
"IGL06",1994,855,451
"IGL06",1995,557,322
"IGL06",1996,441,233
"IGL06",1997,351,206
"IGL06",1998,410,236
"IGL06",1999,320,171
"IGL06",2000,225,130
"IGL07",1980,0,0
"IGL07",1981,1,0
"IGL07",1982,0,0
"IGL07",1983,0,0
"IGL07",1984,0,0
"IGL07",1985,0,0
"IGL07",1986,2,2
"IGL07",1987,0,0
